tier name 			weapon				armor		upgrades_to         CLASS
4	Spearman(W)		Spear		        Walrus_Furs			Nagual(W)             HVY_INF
5	Nagual(W)		Spear				Walrus_Furs			none                  LGT_INF

// Introduce raven stealth units

3	Bowman(H)		Dagger/Bow(Ash)/Arrow	Walrus_Furs			Bowman(H)/Warrior(H)    RNG
4	Bowman(H)		Dagger/Bow(Ash)/Arrow	Walrus_Furs			Nagual(H)               RNG
4	Warrior(H)		War_Axe/Atlatl(Oak)     Walrus_Furs			Nagual(H)           RNG_INF
5	Nagual(H)		War_Axe/Atlatl(Oak)	   	Walrus_Furs			none                RNG_INF

3	Clubman(B)		Club(Whalebone)			Bear_Furs			Clubman(B)/Spearman(B)  LGT_INF
4	Clubman(B)		Club(Whalebone)    		Bear_Furs			Nagual(B)               LGT_INF
4	Spearman(B)		Spear	        	    Bear_Furs			Nagual(B)               HVY_INF
5	Nagual(B)		Club(Whalebone)			Bear_Furs			none                    LGT_INF
